"","Ret"
"2011-03-16",1.18578684485611
"2011-03-17",-1.14981610995786
"2011-03-18",0.330345288673861
"2011-03-21",0.0774396356477247
"2011-03-22",0.343330740928849
"2011-03-23",0.999901483191312
"2011-03-24",-0.0600828174946777
"2011-03-25",1.05015075585726
"2011-03-28",0.207685620215337
"2011-03-29",-0.872695613589336
"2011-03-30",-0.0779833420085474
"2011-03-31",-0.940199527429098
"2011-04-01",1.33319549228732
"2011-04-06",1.13760661005555
"2011-04-07",0.217957676572134
"2011-04-08",0.732441717704901
"2011-04-11",-0.240382799963257
"2011-04-12",-0.0455715361509235
"2011-04-13",0.956173172278518
"2011-04-14",-0.25478176449667
"2011-04-15",0.259007551419188
"2011-04-18",0.222769723074911
"2011-04-19",-1.92491160996227
"2011-04-20",0.266266856934294
